Dining & Beverage,Financials,Healthcare,Home,Leisure,Others,Shopping,Transportation,bal_sum
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,-18990.05
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.28
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,12745.87
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,29834.94
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
1122.0,-566.9933333333333,0.0,0.0,0.0,0.0,0.0,0.0,2578.8499999999995
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,-18990.05
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.28
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,12745.87
0.0,204.397857142857,0.0,0.0,0.0,-837.2,0.0,0.0,7629.6
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,-18990.05
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,29834.94
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616448.1537091328
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,664390.01
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-2353.3826315789474,-50000.0,0.0,0.0,-10833.4,0.0,0.0,617813.4299999999
-214.90360360360373,7072.900555555555,-25051.9,-230.0,-832.9555882352943,-2951.4739999999997,-2225.624,-99.0033846153846,595565.44
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,670206.77
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,626282.5499999999
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616752.1245358321
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.28
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,668782.7192458522
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
305.0,-273.31454545454545,-50000.0,0.0,0.0,-12591.75,0.0,0.0,619026.46
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-103.2804166666677,-50000.0,0.0,0.0,-10833.4,0.0,0.0,617813.4299999999
-222.1536764705883,7979.937619047618,-25051.9,-230.0,-780.8868292682928,-2834.151923076923,-2833.766666666667,-97.27185628742515,597457.5599999999
-512.0,-147.27555555555557,-50000.0,0.0,0.0,-12591.75,0.0,0.0,619465.89
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,12745.87
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.54
-512.0,-78.96142857142851,-50000.0,0.0,0.0,-12591.75,0.0,0.0,629193.48
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,670206.77
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-4123.620000000001,-50000.0,0.0,0.0,-12591.75,0.0,0.0,646282.5499999999
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616752.1245358321
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,668782.7192458522
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,29834.94
-512.0,-163.185,-50000.0,0.0,0.0,-12591.75,0.0,0.0,616447.61
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1366.3637091328337
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20881.626290867163
1122.0,-566.9933333333333,0.0,0.0,0.0,0.0,0.0,0.0,2579.393709132833
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,1366.3637091328337
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,-18989.506290867164
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.8237091328338
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,12746.413709132834
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,29835.483709132834
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,49308.22000000001
0.0,-31.32571428571428,0.0,0.0,0.0,0.0,0.0,0.0,51.11
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,27060.23000000001
1122.0,-566.9933333333333,0.0,0.0,0.0,0.0,0.0,0.0,50521.25000000001
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,49308.22000000001
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,28952.35000000001
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,50960.68000000001
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,60688.27000000001
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,77777.34000000001
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
1122.0,-566.9933333333333,0.0,0.0,0.0,0.0,0.0,0.0,2578.8499999999995
0.0,-58.33083333333343,0.0,0.0,0.0,0.0,0.0,0.0,11845.88
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
-220.00666666666672,12991.089999999998,-103.8,-230.0,-780.8868292682928,-1060.043181818182,-2833.766666666667,-97.27185628742515,-18990.05
0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.28
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,12745.87
0.0,-5390.9592,0.0,0.0,0.0,0.0,0.0,0.0,29834.94
-212.2027272727274,4057.5666666666657,-103.8,-230.0,-832.9555882352943,-1237.265909090909,-2225.624,-99.0033846153846,-19516.35
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,55124.98
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,11200.76
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1670.3345358320762
0.0,-31.32571428571428,0.0,0.0,0.0,0.0,0.0,0.0,51.11
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,53700.929245852196
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
1122.0,-3222.1264285714287,0.0,0.0,0.0,-3800.0,0.0,0.0,3944.669999999999
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,-1651.186666666667,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
-220.00666666666672,5228.140833333333,-103.8,-230.0,-780.8868292682928,-1179.1717391304348,-2833.766666666667,-97.27185628742515,-17624.23
0.0,-3619.065833333334,0.0,0.0,0.0,-3800.0,0.0,0.0,4384.1
0.0,80.00400000000009,0.0,0.0,0.0,0.0,0.0,0.0,12945.87
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.75
0.0,-2541.692352941177,0.0,0.0,0.0,-3800.0,0.0,0.0,14111.69
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,55124.98
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,-4949.521388888889,0.0,0.0,0.0,-3800.0,0.0,0.0,31200.76
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1670.3345358320762
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,53700.929245852196
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
0.0,80.00400000000009,0.0,0.0,0.0,0.0,0.0,0.0,12945.87
0.0,-3946.2536363636373,0.0,0.0,0.0,-3800.0,0.0,0.0,1365.82
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,32876.990000000005
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-11047.229999999998
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20577.65546416792
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,31452.939245852198
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-200.182882882883,9762.823846153846,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-18303.32
0.0,33.33666666666674,0.0,0.0,0.0,0.0,0.0,0.0,12745.87
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-212.2027272727274,4901.709230769231,-103.8,-230.0,-832.9555882352943,-1237.265909090909,-2225.624,-99.0033846153846,-19516.35
-216.5028571428572,12934.86347826087,-103.8,-230.0,-804.4913333333332,-1086.9953488372093,-2590.5096,-98.0297643097642,-39872.22
-212.2027272727274,11690.699090909091,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-17863.89
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.239999999998
-212.2027272727274,8051.106875000001,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-8136.299999999997
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,32876.990000000005
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
0.0,204.397857142857,0.0,0.0,0.0,-837.2,0.0,0.0,7629.6
0.0,-133.33333333333334,0.0,0.0,0.0,58.40999999999999,-9.0,0.0,1564.14
-212.2027272727274,-175.89400000000023,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,8952.77
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20577.65546416792
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,31452.939245852198
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
-212.2027272727274,12861.769,-103.8,-230.0,-832.9555882352943,-1115.2309523809522,-2225.624,-99.0033846153846,-20882.17
1122.0,-566.9933333333333,0.0,0.0,0.0,0.0,0.0,0.0,56338.01
0.0,-73.32812500000091,0.0,0.0,0.0,-3800.0,0.0,0.0,55124.98
